lr,epochs,batch_size,growth_rate,mean_accuracy,+-
0.001,30,32,2,51.80,3.47
0.001,30,32,4,53.00,3.81
0.001,30,32,8,51.50,5.78
0.001,30,64,1,50.75,1.45
0.001,30,64,2,51.35,2.11
0.001,30,64,4,49.73,2.15
0.001,30,64,8,50.25,1.51
0.001,40,8,1,61.08,3.43
0.001,40,8,2,64.12,2.87
0.001,40,8,4,59.85,1.84
0.001,40,8,8,60.00,2.04
0.001,40,16,1,59.25,5.57
0.001,40,16,2,58.20,3.78
0.001,40,16,4,62.73,2.44
0.001,40,16,8,60.62,2.25
0.001,40,32,1,60.50,2.73
0.001,40,32,2,56.47,3.87
0.001,40,32,4,58.60,2.85
0.001,40,32,8,55.55,1.87
0.001,40,64,1,50.10,0.17
0.001,40,64,2,52.93,4.62
0.001,40,64,4,50.13,0.97
0.001,40,64,8,53.00,4.97
0.001,50,8,1,64.55,1.58
0.001,50,8,2,58.62,5.77
0.001,50,8,4,61.70,4.89
0.001,50,8,8,65.38,3.53
0.001,50,16,1,57.00,5.25
0.001,50,16,2,57.20,5.61
0.001,50,16,4,62.58,0.60
0.001,50,16,8,62.60,4.48
0.001,50,32,1,56.70,4.00
0.001,50,32,2,55.27,1.22
0.001,50,32,4,56.72,2.86
0.001,50,32,8,56.80,3.83
0.001,50,64,1,51.90,1.12
0.001,50,64,2,51.00,1.36
0.001,50,64,4,50.60,0.60
0.001,50,64,8,50.98,1.63
0.001,100,8,1,65.72,3.38
0.001,100,8,2,62.97,5.84
0.001,100,8,4,64.15,4.03
0.001,100,8,8,64.38,2.96
0.001,100,16,1,62.50,1.50
0.001,100,16,2,62.70,1.08
0.001,100,16,4,65.40,1.58
0.001,100,16,8,65.22,7.21
0.001,100,32,1,65.70,1.58
0.001,100,32,2,58.82,2.64
0.001,100,32,4,57.17,3.03
0.001,100,32,8,60.00,2.33
0.001,100,64,1,61.35,2.85
0.001,100,64,2,59.05,1.38
0.001,100,64,4,57.50,5.48
0.001,100,64,8,60.53,3.06
0.001,150,8,1,66.70,9.25
0.001,150,8,2,65.17,6.32
0.001,150,8,4,66.67,7.55
0.001,150,8,8,65.93,7.42
0.001,150,16,1,62.12,2.92
0.001,150,16,2,65.05,2.82
0.001,150,16,4,62.90,2.59
0.001,150,16,8,62.10,5.25
0.001,150,32,1,61.67,0.95
0.001,150,32,2,58.85,2.83
0.001,150,32,4,62.00,2.17
0.001,150,32,8,63.33,1.50
0.001,150,64,1,60.40,3.25
0.001,150,64,2,58.08,1.59
0.001,150,64,4,60.55,2.94
0.001,150,64,8,58.38,1.37
0.005,10,8,1,52.92,5.18
0.005,10,8,2,54.28,4.70
0.005,10,8,4,54.15,5.23
0.005,10,8,8,57.35,5.81
0.005,10,16,1,52.38,4.11
0.005,10,16,2,50.00,0.00
0.005,10,16,4,54.93,3.35
0.005,10,16,8,50.10,0.17
0.005,10,32,1,52.22,2.24
0.005,10,32,2,55.03,6.38
0.005,10,32,4,53.95,2.43
0.005,10,32,8,52.10,4.72
